Data,Município ,Campanha,Módulo,Transecto,Parcela,Ponto,Tipo de Parcela,Coordenadas UTM (X),Coordenadas UTM (Y),Ordem,Família,Subfamília,Espécie,Tipo Amostragem,Núm. Ind. (Colônias/Encontros),Núm. ID (campo),Instituição para Tombamento,Tombo,OBS,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P2,500,Terrestre,8988404,335307,,Termitidae,Nasutitermitinae,Nasutitermes banksi,,1,4Aa,MZUSP,,Em graveto,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Nasutitermes banksi,,1,1Ba,MZUSP,,No solo,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Nasutitermitinae,Nasutitermes banksi,,1,3Ba,MZUSP,,Em galeria em árvore,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P2,500,Terrestre,8988404,335307,,Termitidae,Nasutitermitinae,Nasutitermes bivalens,,1,3Ba,MZUSP,,Em galeria em árvore,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P1,0,Terrestre,8988015,334967,,Termitidae,Nasutitermitinae,Nasutitermes gaigei,,1,3Ca,MZUSP,,Em folha de palmeira,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P3,1000,Terrestre,8988753,335582,,Termitidae,Nasutitermitinae,Nasutitermes gaigei,,1,3Ba,MZUSP,,Em graveto,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Nasutitermitinae,Nasutitermes gaigei,,1,1Bc,MZUSP,,Em graveto,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Nasutitermitinae,Nasutitermes gaigei,,1,3Ba,MZUSP,,No solo e na serapilheira,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Nasutitermes sp. 07,,1,1Aa,MZUSP,,Galeria em árvore,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P1,0,Terrestre,8988015,334967,,Termitidae,Nasutitermitinae,Triangularitermes triangulariceps,,1,3Ac,MZUSP,,Em tronco caído,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Triangularitermes triangulariceps,,1,1Db,MZUSP,,Raíz de tronco caído e serapilheira,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Syntermitinae,Armitermes holmgreni,,1,1Bb,MZUSP,MZUSP 14464,Em graveto,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P1,0,Terrestre,8988015,334967,,Termitidae,Syntermitinae,Cornitermes bolivianus,,1,3Ba,MZUSP,MZUSP 14653,Em tronco caído,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Syntermitinae,Cornitermes pugnax,,1,1Aa,MZUSP,MZUSP 14661,No solo,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P2,500,Terrestre,8988404,335307,,Termitidae,Syntermitinae,Cornitermes weberi,,1,2Aa,MZUSP,MZUSP 14655,Em madeira caída,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P2,500,Terrestre,8988404,335307,,Termitidae,Syntermitinae,Cornitermes weberi,,1,3Aa,MZUSP,MZUSP 14656,No ninho ,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P3,1000,Terrestre,8988753,335582,,Termitidae,Syntermitinae,Embiratermes neotenicus,,1,3Aa,MZUSP,,No ninho ,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Syntermitinae,Embiratermes neotenicus,,1,1Ba,MZUSP,,Em graveto,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P1,0,Terrestre,8988015,334967,,Termitidae,Syntermitinae,Syntermes molestus,,1,2Aa,MZUSP,MZUSP 14697,No solo,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Syntermitinae,Syntermes molestus,,1,1Ba,MZUSP,MZUSP 14691,No solo,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Termitinae,Cylindrotermes flangiatus,,1,4Aa,MZUSP,,Em gravetos,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Termitinae,Cylindrotermes flangiatus,,1,1Aa,MZUSP,,Em graveto,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P1,0,Terrestre,8988015,334967,,Termitidae,Termitinae,Cylindrotermes parvignathus,,1,4Aa,MZUSP,,Em graveto,,,,,,,,,,,,,,
