"","Data","Municipio","Campanha","Modulo","Transecto","Parcela","Ponto","Tipo_de_Parcela","Coordenadas_UTM_.X.","Coordenadas_UTM_.Y.","Ordem","Familia","Subfamilia","Especie","Tipo_Amostragem","Num._Ind._.Colonias.Encontros.","Num._ID_.campo.","Instituicao_para_Tombamento","Tombo","OBS"
"66","2/3/2012","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",7,"IP","T2","P5",3000,"Terrestre",8987675,321325,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Ba","MZUSP","","#Colônia de Dolichorhino dentro de talo de palmeira morta"
"67","16/01/11","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",2,"IP","T2","P6",4000,"Terrestre",8988536,320818,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"1Aa","MZUSP","","#Na serapilheira e no solo envolta de raíz de palmeira"
"68","9/6/2011","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",4,"IP","T2","P6",4000,"Terrestre",8988536,320818,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"1Ab","MZUSP","","#Interior de galho carcomido."
"69","1/6/2012","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",8,"IP","T2","P6",4000,"Terrestre",8988536,320818,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"3Aa","MZUSP","","#Interior de graveto"
"70","11/4/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",3,"JI","T2","P3",1000,"Terrestre",8970820,310485,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"1Aa","MZUSP","","#Graveto"
"71","3/6/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",4,"JI","T2","P4",2000,"Terrestre",8971554,309787,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Aa","MZUSP","","#Serrapilheira."
"72","9/1/2011","""Jirau, Nova Mutum Paraná, Porto Velho, RO""",2,"JI","T2","P6",4000,"Terrestre",8972955,308380,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Aa","MZUSP","","#Em tronco caído"
"73","5/4/2011","""Teotônio, Porto Velho, RO""",3,"TE","T2","P3",1000,"Terrestre",9023187,382471,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"3Aa","MZUSP","","#Graveto"
"74","1/6/2011","""Teotônio, Porto Velho, RO""",4,"TE","T2","P5",3000,"Terrestre",9024570,380983,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Bb","MZUSP","","#No solo."
"75","22/09/10","""Teotônio, Porto Velho, RO""",1,"TE","T2","P7",5000,"Terrestre",9025906,379516,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Aa","MZUSP","","#Dentro de graveto"
"76","2/4/2011","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",3,"IB","T2","P1",0,"Terrestre",8988015,334967,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Ab","MZUSP","","#Em tronco caído"
