,Data,Municipio ,Campanha,Modulo,Transecto,Parcela,Ponto,Tipo_de_Parcela,Coordenadas_UTM_(X),Coordenadas_UTM_(Y),Ordem,Familia,Subfamilia,Especie,Tipo_Amostragem,Num._Ind._(Colonias/Encontros),Num._ID_(campo),Instituicao_para_Tombamento,Tombo,OBS,,,,,
79,13/09/2010,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,1Ad,MZUSP,,#Monte de terra na base de baba�u, aparentemente ninho de Cornitermes ou Syntermes,,,,
80,13/09/2010,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,3Ac,MZUSP,,#Nasutitermes e Apico em galeria de baixo de tronco e o restante em terra abaixo de tronco,,,,,
81,13/09/2010,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",1,IB,T1,P2*,500,Terrestre,8988935,334438,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,4Aa,MZUSP,,#Forrageando no solo,,,,,
82,14/01/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",2,IB,T2,P3,1000,Terrestre,8988753,335582,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,3Ba,MZUSP,,#Em tronco ca�do,,,,,
83,1/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P3,1000,Terrestre,8988753,335582,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,3Cb,MZUSP,,#Interior de tronco,,,,,
84,1/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,3Aa,MZUSP,,#No solo,,,,,
85,1/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P4,2000,Terrestre,8989521,336332,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,1Aa,MZUSP,,#Caminho externo de graveto,,,,,
86,1/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P4,2000,Terrestre,8989521,336332,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,4Aa,MZUSP,,#Base de tronco morto em p�, e em galerias no troco. Heterotermes e Dolichorhino em folha de palmeira,,,,
87,22/11/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",6,IP,T2,P1,0,Terrestre,8985209,323016,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,2Bb,MZUSP,,#Interior de toco de palmeira,,,,,
88,1/6/2012,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",8,IP,T2,P3,1000,Terrestre,8985957,322373,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,1Ca,MZUSP,,#Interior de graveto,,,,,
89,4/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P1,0,Terrestre,8970098,3111182,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,1Aa,MZUSP,,#Parte interna de tronco podre.,,,,,
90,4/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P1,0,Terrestre,8970098,3111182,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,3Ca,MZUSP,,#Talo de folha de palmeira morta e no folhi�o logo embaixo, Ambos sobre uma pedra grande.,,,,
91,10/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P2,500,Terrestre,8970473,310831,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,1Ba,MZUSP,,#Dentro de graveto,,,,,
92,4/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P2,500,Terrestre,8970473,310831,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,3Ca,MZUSP,,#Interior de galho. Duplicata,,,,,
93,9/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P4,2000,Terrestre,8971554,309787,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,1Aa,MZUSP,,#No solo e Heterotermes dentro de um gravetinho enterrado no solo,,,,,
94,9/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P4,2000,Terrestre,8971554,309787,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,3Aa,MZUSP,,#Em trondo ca�do,,,,,
