,Data,Municipio,Campanha,Modulo,Transecto,Parcela,Ponto,Tipo_de_Parcela,Coordenadas_UTM_.X.,Coordenadas_UTM_.Y.,Ordem,Familia,Subfamilia,Especie,Tipo_Amostragem,Num._Ind._.Colonias.Encontros.,Num._ID_.campo.,Instituicao_para_Tombamento,Tombo,OBS,X.1,X.2,X.3,X.4,X.5,Especie_orig
59,19/11/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",6,IB,T2,P6,4000,Terrestre,8991071,337699,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,1Da,MZUSP,,#Interior de graveto,,,,,,Dolichorhinotermes sp. 1
60,15/09/2010,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",1,IP,T2,P2,500,Terrestre,8985636,322669,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,3Ca,MZUSP,,#Dentro de tronco podre e oco,,,,,,Dolichorhinotermes sp. 1
61,21/11/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",6,IP,T2,P2,500,Terrestre,8985636,322669,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,3Aa,MZUSP,,#Interior de talo de palmeira com formigas atacando,,,,,,Dolichorhinotermes sp. 1
62,1/6/2012,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",8,IP,T2,P3,1000,Terrestre,8985957,322373,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Aa,MZUSP,,#Talo de palmeira e solo (Juntei com o 4C),,,,,,Dolichorhinotermes sp. 1
63,14/09/2010,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",1,IP,T2,P4,2000,Terrestre,8986754,321877,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,2Ba,MZUSP,,#Forrageando no solo e dentro de graveto,,,,,,Dolichorhinotermes sp. 1
64,14/09/2010,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",1,IP,T2,P5,3000,Terrestre,8987675,321325,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,1Aa,MZUSP,,#Dentro de galho ca�do,,,,,,Dolichorhinotermes sp. 1
65,9/6/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",4,IP,T2,P5,3000,Terrestre,8987675,321325,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Ba,MZUSP,,#Interior de haste de folha de palmeira morta.,,,,,,Dolichorhinotermes sp. 1
66,2/3/2012,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",7,IP,T2,P5,3000,Terrestre,8987675,321325,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Ba,MZUSP,,#Col�nia de Dolichorhino dentro de talo de palmeira morta,,,,,,Dolichorhinotermes sp. 1
67,16/01/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",2,IP,T2,P6,4000,Terrestre,8988536,320818,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,1Aa,MZUSP,,#Na serapilheira e no solo envolta de ra�z de palmeira,,,,,,Dolichorhinotermes sp. 1
68,9/6/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",4,IP,T2,P6,4000,Terrestre,8988536,320818,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,1Ab,MZUSP,,#Interior de galho carcomido.,,,,,,Dolichorhinotermes sp. 1
69,1/6/2012,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",8,IP,T2,P6,4000,Terrestre,8988536,320818,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,3Aa,MZUSP,,#Interior de graveto,,,,,,Dolichorhinotermes sp. 1
70,11/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P3,1000,Terrestre,8970820,310485,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,1Aa,MZUSP,,#Graveto,,,,,,Dolichorhinotermes sp. 1
71,3/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P4,2000,Terrestre,8971554,309787,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Aa,MZUSP,,#Serrapilheira.,,,,,,Dolichorhinotermes sp. 1
72,9/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P6,4000,Terrestre,8972955,308380,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Aa,MZUSP,,#Em tronco ca�do,,,,,,Dolichorhinotermes sp. 1
73,5/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P3,1000,Terrestre,9023187,382471,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,3Aa,MZUSP,,#Graveto,,,,,,Dolichorhinotermes sp. 1
74,1/6/2011,"""Teot�nio, Porto Velho, RO""",4,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Bb,MZUSP,,#No solo.,,,,,,Dolichorhinotermes sp. 1
75,22/09/2010,"""Teot�nio, Porto Velho, RO""",1,TE,T2,P7,5000,Terrestre,9025906,379516,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Aa,MZUSP,,#Dentro de graveto,,,,,,Dolichorhinotermes sp. 1
76,2/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Heterotermitinae,Heterotermes_tenuis,NA,1,3Ab,MZUSP,,#Em tronco ca�do,,,,,,Heterotermes tenuis
77,6/9/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",5,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Heterotermitinae,Heterotermes_tenuis,NA,1,1Aa,MZUSP,,#Interior de talo de palmeira,,,,,,Heterotermes tenuis
78,3/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Heterotermitinae,Heterotermes_tenuis,NA,1,1Aa,MZUSP,,#Interior de tronquinho e graveto podres,,,,,,Heterotermes tenuis
79,13/09/2010,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Rhinotermitidae,Heterotermitinae,Heterotermes_tenuis,NA,1,1Ad,MZUSP,,#Monte de terra na base de baba�u, aparentemente ninho de Cornitermes ou Syntermes,,,,,Heterotermes tenuis
80,13/09/2010,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Rhinotermitidae,Heterotermitinae,Heterotermes_tenuis,NA,1,3Ac,MZUSP,,#Nasutitermes e Apico em galeria de baixo de tronco e o restante em terra abaixo de tronco,,,,,,Heterotermes tenuis
81,13/09/2010,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",1,IB,T1,P2*,500,Terrestre,8988935,334438,,Rhinotermitidae,Heterotermitinae,Heterotermes_tenuis,NA,1,4Aa,MZUSP,,#Forrageando no solo,,,,,,Heterotermes tenuis
